Trial,CorrectResponse,Response,Correct,Offset,NextStepSize,Reversals,NextDirection,SameDirectionCount
1,1,1,True,64.00,4,0,,0
2,3,3,True,64.00,4,0,down,1
3,1,1,True,16.00,4,0,down,1
4,3,3,True,16.00,4,0,down,2
5,1,3,False,4.00,2,1,up,0
6,3,3,True,8.00,2,1,up,0
7,3,1,False,8.00,2,1,up,1
8,1,3,False,16.00,2,1,up,2
9,1,1,True,32.00,2,1,up,2
10,3,3,True,32.00,1,2,down,0
11,3,3,True,22.63,1,2,down,0
12,1,1,True,22.63,1,2,down,1
13,1,1,True,16.00,1,2,down,1
14,1,1,True,16.00,2,2,down,2
15,3,3,True,8.00,2,2,down,2
