Trial,CorrectResponse,Response,Correct,Offset,NextStepSize,Reversals,NextDirection,SameDirectionCount
1,3,3,True,64.00,4,0,,0
2,3,3,True,64.00,4,0,down,1
3,3,3,True,16.00,4,0,down,1
4,1,1,True,16.00,4,0,down,2
5,1,3,False,4.00,2,1,up,0
6,3,3,True,8.00,2,1,up,0
7,1,1,True,8.00,1,2,down,0
8,3,3,True,5.66,1,2,down,0
9,3,3,True,5.66,1,2,down,1
10,3,1,False,4.00,1,3,up,0
11,3,3,True,5.66,1,3,up,0
12,1,1,True,5.66,1,4,down,0
13,1,3,False,4.00,1,5,up,0
14,3,3,True,5.66,1,5,up,0
15,3,3,True,5.66,1,6,down,0
